iter	Passed	Remaining
0	164	49055
1	179	26797
2	196	19409
3	212	15708
4	229	13517
5	245	12009
6	260	10906
7	276	10075
8	291	9429
9	307	8925
10	324	8533
11	341	8207
12	358	7923
13	375	7680
14	393	7480
15	411	7295
16	430	7160
17	447	7016
18	466	6900
19	484	6786
20	508	6755
21	525	6638
22	545	6568
23	566	6510
24	582	6410
25	607	6398
26	626	6330
27	644	6256
28	660	6175
29	680	6125
30	698	6063
31	715	5996
32	734	5942
33	751	5881
34	769	5829
35	785	5761
36	802	5702
37	819	5649
38	835	5589
39	849	5524
40	865	5467
41	880	5410
42	896	5357
43	912	5306
44	928	5262
45	944	5216
46	961	5175
47	976	5124
48	992	5082
49	1008	5041
50	1024	5000
51	1040	4962
52	1055	4919
53	1071	4879
54	1085	4834
55	1101	4799
56	1118	4766
57	1134	4735
58	1150	4701
59	1167	4668
60	1182	4634
61	1199	4603
62	1217	4579
63	1234	4551
64	1252	4526
65	1270	4505
66	1293	4498
67	1311	4475
68	1328	4448
69	1344	4416
70	1359	4384
71	1374	4352
72	1389	4319
73	1404	4289
74	1419	4259
75	1434	4228
76	1450	4199
77	1464	4168
78	1479	4138
79	1494	4109
80	1509	4080
81	1524	4053
82	1539	4025
83	1555	4000
84	1570	3973
85	1584	3943
86	1600	3917
87	1615	3891
88	1629	3862
89	1644	3836
90	1659	3811
91	1675	3787
92	1690	3763
93	1705	3738
94	1721	3714
95	1736	3691
96	1752	3667
97	1767	3643
98	1782	3619
99	1800	3600
100	1816	3578
101	1831	3555
102	1848	3535
103	1864	3513
104	1880	3492
105	1897	3473
106	1915	3455
107	1932	3436
108	1951	3419
109	1968	3400
110	1985	3380
111	2004	3364
112	2022	3346
113	2041	3330
114	2058	3312
115	2075	3292
116	2091	3271
117	2107	3250
118	2125	3232
119	2140	3210
120	2157	3190
121	2173	3170
122	2189	3150
123	2205	3130
124	2223	3112
125	2241	3095
126	2259	3077
127	2278	3061
128	2295	3043
129	2313	3024
130	2330	3006
131	2346	2986
132	2362	2966
133	2378	2946
134	2394	2926
135	2410	2907
136	2427	2888
137	2443	2868
138	2459	2848
139	2475	2829
140	2491	2810
141	2507	2790
142	2523	2770
143	2542	2754
144	2561	2737
145	2578	2720
146	2597	2703
147	2616	2687
148	2632	2668
149	2650	2650
150	2667	2632
151	2683	2613
152	2700	2594
153	2716	2575
154	2731	2555
155	2747	2535
156	2763	2516
157	2779	2497
158	2793	2477
159	2809	2458
160	2825	2439
161	2840	2419
162	2855	2399
163	2871	2381
164	2887	2362
165	2902	2343
166	2917	2323
167	2931	2303
168	2947	2284
169	2962	2265
170	2977	2246
171	2993	2227
172	3008	2208
173	3025	2190
174	3042	2173
175	3058	2155
176	3075	2137
177	3091	2119
178	3108	2101
179	3124	2083
180	3141	2065
181	3157	2047
182	3175	2030
183	3191	2011
184	3205	1992
185	3219	1973
186	3234	1954
187	3247	1934
188	3263	1916
189	3278	1898
190	3292	1879
191	3307	1860
192	3323	1842
193	3337	1823
194	3352	1805
195	3367	1786
196	3383	1768
197	3398	1750
198	3412	1732
199	3425	1712
200	3440	1694
201	3455	1676
202	3469	1658
203	3484	1639
204	3499	1621
205	3513	1603
206	3528	1585
207	3542	1566
208	3556	1548
209	3570	1530
210	3584	1512
211	3599	1494
212	3614	1476
213	3629	1458
214	3644	1440
215	3659	1423
216	3676	1406
217	3690	1388
218	3706	1370
219	3721	1353
220	3735	1335
221	3749	1317
222	3764	1299
223	3777	1281
224	3791	1263
225	3805	1246
226	3820	1228
227	3835	1211
228	3849	1193
229	3864	1176
230	3879	1158
231	3894	1141
232	3909	1124
233	3923	1106
234	3939	1089
235	3954	1072
236	3971	1055
237	3986	1038
238	4002	1021
239	4015	1003
240	4030	986
241	4045	969
242	4060	952
243	4074	935
244	4091	918
245	4106	901
246	4121	884
247	4137	867
248	4153	850
249	4169	833
250	4185	817
251	4200	800
252	4214	783
253	4229	765
254	4244	749
255	4259	732
256	4273	714
257	4287	697
258	4302	681
259	4317	664
260	4332	647
261	4346	630
262	4361	613
263	4376	596
264	4390	579
265	4405	563
266	4419	546
267	4433	529
268	4448	512
269	4462	495
270	4479	479
271	4493	462
272	4509	445
273	4524	429
274	4539	412
275	4555	396
276	4569	379
277	4583	362
278	4598	346
279	4613	329
280	4628	312
281	4643	296
282	4660	279
283	4676	263
284	4690	246
285	4706	230
286	4722	213
287	4738	197
288	4755	181
289	4771	164
290	4786	148
291	4802	131
292	4817	115
293	4832	98
294	4849	82
295	4865	65
296	4881	49
297	4896	32
298	4910	16
299	4926	0
